Id,product_name,categories_tags
281,Gaufres hollandaises,en:waffles
282,Mini-fruits Pomme,"fr:bonbons,en:candies"
283,Bonbons au dextrose,"fr:bonbons,en:candies"
284,Bananes cavendish biologique catÃ©gorie 2,"en:fruits,en:tropical-fruits,fr:fruits-frais,fr:bananes"
285,tagliatelles sauce pesto et noix de Saint Jacques,"en:frozen-foods,fr:plats-cuisines-surgeles"
286,7up natural lemon & lime,"en:sodas,en:beverages,en:carbonated-drinks"
287,Sandwich Oeuf et Cresson pain maltÃ© Ã  l'anglaise,
288,"VeloutÃ© de lÃ©gumes, Saveurs du Sud","fr:veloutes,en:soups,en:meals"
289,Gouda,"fr:fromages-des-pays-bas,en:cow-cheeses,fr:goudas,en:cheeses,fr:fromages-a-pate-pressee-non-cuite,fr:fromages-de-vache-prim-holstein,en:dairies,fr:fromages-pasteurises"
290,3 filets de poulet,"en:poultries,fr:escalopes-de-poulet,fr:poulets,en:meats"
291,Dulano jambon cuit fumÃ©,"en:hams,en:meats,en:prepared-meats"
292,Harrys American Sandwich Complet,
293,Yogourt Vanille,"en:vanilla-yogurts,en:yogurts,en:dairies"
294,Ratatouille,fr:ratatouilles
295,Formule Boost,"en:nuts,en:dried-fruits,fr:graines,fr:melange-de-fruits"
296,Aiguillettes de Poulet,"fr:poulets,en:poultries,en:meats"
297,Fondants de poulet farcis aux petits lÃ©gumes,"en:frozen-foods,fr:plats-cuisines-surgeles"
298,Boulgour,"en:cereals,fr:ble,fr:boulgour,fr:bles-durs"
299,Tranches d'ananas,"fr:fruits-en-conserve,en:canned-foods"
300,Pastos del Norte,"fr:laits-entiers,en:milks,en:dairies"
301,chataigne  ou  Marrons ,
302,LÃ©gumes pour couscous et plats orientaux,fr:legumes-cuisines
303,Tomates pelÃ©es,"fr:legumes-en-conserve,en:vegetables,en:canned-foods"
304,Haricots rouges,en:vegetables
305,Marque RepÃ¨re - Jafaden - Jus d'ananas,"en:pineapple-juices,en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,fr:jus"
306,Cigarettes,en:biscuits
307,Pur Jus d'Orange,
308,ComtÃ© au lait cru d'Ã©tÃ© (9 Ã  12 mois d'affinage),"en:french-cheeses,fr:fromages-labellises,fr:produits-aoc,fr:comte,en:cow-cheeses,en:cheeses,fr:fromage-a-pate-pressee-cuite,en:labeled-products,en:dairies,fr:fromages-au-lait-cru,fr:fromages-aoc,fr:fromages-a-pate-pressee-cuite"
309,4 escalopes de poulet extra-fines,"en:poultries,fr:poulets,fr:escalopes-de-poulet,en:meats"
310,Lait Demi Ã©crÃ©mÃ©,"en:milks,en:dairies,fr:lait-sterilise-uht"
311,Jambonneau tradition,"fr:charcuteries-cuites,en:meats,en:prepared-meats,fr:jambonneau,fr:jambonneau-en-boite"
312,Thon au Naturel,"en:seafood,en:tunas,en:fishes"
313,Rillettes de Truite,"en:rillettes,fr:rillettes-de-truite,fr:rillettes-de-poissons,en:meats,en:prepared-meats"
314,Fromage de chÃ¨vre,"en:cheeses,en:dairies,fr:fromages-pasteurises,fr:fromages-de-chevre"
315,Omelette recette espagnole (avec oignons),en:meals
316,PÃ©tales de riz et de blÃ© complet aux copeaux de chocolat noir,"fr:cereales-pour-petit-dejeuner,en:breakfasts"
317,Sauce cruditÃ© nature,fr:sauces-vinaigrettes
318,Langue de boeuf sauce piquante,"en:canned-foods,fr:plats-prepares-en-conserve,en:meals"
319,VeloutÃ© de volaille,"fr:veloutes,fr:soupes-deshydratees,en:soups,en:meals"
320,TaboulÃ© Ã  l'orientale,"fr:taboules-orientaux,fr:taboules"
321,Magic Cookies Coeur Fondant,"en:biscuits,en:cookies,fr:cookies-au-chocolat"
322,GÃ©siers de Canard Confits,
323,Schovit,fr:poudre-chocolatee
324,Tendre Orange,"en:cakes,fr:genoise"
325,Biscuits fourrÃ©s parfum chocolat,
